time_s,eta_a,eta_b,visible_a,visible_b,common_visibility,singles_a_hz,singles_b_hz,true_coincidence_hz,accepted_true_hz,accidental_coincidence_hz,coincidence_hz,qber,sifted_rate_bps,key_rate_bps,cumulative_rate_integral_bits
-52.0,0.0031706301224372897,0.00044493458105995245,True,True,True,31906.301224372895,4649.345810599524,14.107229852227011,13.845799214643446,0.14834071656547376,13.99413993120892,0.034536865248688306,6.99706996560446,3.722587640640583,138.78756893234274
-50.0,0.0031089285803580675,0.00046446241829689784,True,True,True,31289.285803580675,4844.624182968978,14.439804867454495,14.172211056860633,0.15158209202661277,14.323793148887246,0.034528555222955025,7.161896574443623,3.810896570271376,146.3210531432547
-48.0,0.0030433065268947166,0.00048481424743091546,True,True,True,30633.065268947164,5048.142474309155,14.75438363538055,14.480960152432115,0.1546373190609045,14.63559747149302,0.034520697430965974,7.31779873574651,3.89445009560627,154.02639980913233
-46.0,0.002974290206630394,0.0005060259890496489,True,True,True,29942.902066303937,5260.25989049649,15.050681435308297,14.77176705701321,0.15750467439482901,14.92927173140804,0.03451327452551892,7.46463586570402,3.97317034924316,161.89402025398175
-44.0,0.002902401998725873,0.0005281350125233884,True,True,True,29224.01998725873,5481.350125233884,15.328601159449963,15.04453646238638,0.16018430597096936,15.20472076835735,0.03450627035130248,7.602360384178675,4.0470291889430055,169.91421979216793
-42.0,0.0028281528555907363,0.0005511801533656561,True,True,True,28481.528555907364,5711.80153365656,15.588217246860202,15.299341428125706,0.16267805721620496,15.46201948534191,0.034499669872678426,7.731009742670955,4.116043972825225,178.07729295393617
-40.0,0.002752035795483173,0.0005752017227292708,True,True,True,27720.357954831732,5952.0172272927075,15.829757305745403,15.536405344475641,0.16498927028571622,15.701394614761357,0.03449345910731669,7.8506973073806785,4.180272717512027,186.37360964427342
-38.0,0.0026745205105877007,0.0006002415073831468,True,True,True,26945.20510587701,6202.415073831468,16.05358222802305,15.75608241542095,0.16712257644069858,15.923204991861649,0.03448762506522467,7.9616024959308245,4.2398088519795,194.79369121376493
-36.0,0.0025960490999738066,0.0006263427582695318,True,True,True,26160.490999738067,6463.427582695318,16.260165538807296,15.958837390860968,0.16908368100105925,16.127921071862026,0.03448215569275877,8.063960535931013,4.294775763882015,203.32827582962645
-34.0,0.002517032892906706,0.0006535501654682615,True,True,True,25370.32892906706,6735.5016546826155,16.450072636482346,16.145225191399238,0.17087914935595197,16.31610434075519,0.03447703982124613,8.158052170377594,4.345321312249262,211.96837290575772
-32.0,0.0024378502933008485,0.0006819098170895094,True,True,True,24578.502933008487,7019.098170895094,16.623940475963884,16.315870968108207,0.17251619941455937,16.488387167522767,0.03447226711988187,8.244193583761383,4.391612453295744,220.70530667130274
-30.0,0.0023588455508872564,0.0007114691392796762,True,True,True,23788.455508872565,7314.691392796762,16.7824581378345,16.47145103175116,0.17400250472939524,16.645453536480556,0.0344678280525994,8.322726768240278,4.43383009706698,229.53074922166547
-28.0,0.0022803283483979913,0.000742276814154116,True,True,True,23003.283483979914,7622.76814154116,16.926348616741784,16.612674978671873,0.17534601139825554,16.788020990070127,0.034463713838641365,8.394010495035063,4.4721642837558635,238.43674360248832
-26.0,0.0022025740857824112,0.00077438267206494,True,True,True,22225.740857824112,7943.8267206494,17.05635205969176,16.740269239710553,0.17655477080607831,16.91682401051663,0.03445991641658527,8.458412005258316,4.506809741331117,247.4157176275753
-24.0,0.002125824740885615,0.0008078375541722296,True,True,True,21458.24740885615,8278.375541722296,17.17321059275849,16.854962188100014,0.17763678934286767,17.03259897744288,0.034456428411602194,8.51629948872144,4.537961861720259,256.4604892306267
