time_s,eta_a,eta_b,visible_a,visible_b,common_visibility,singles_a_hz,singles_b_hz,true_coincidence_hz,accepted_true_hz,accidental_coincidence_hz,coincidence_hz,qber,sifted_rate_bps,key_rate_bps,cumulative_rate_integral_bits
-142.0,0.0016106417294473102,3.9367383771787946e-05,True,True,True,16306.417294473102,593.6738377178795,0.6340675108200851,0.6223171760370624,0.009680611532792266,0.6319977875698547,0.03675610702311793,0.31599889378492735,0.16091085013513656,0.7686984880127823
-140.0,0.001452513098452068,4.837331362615427e-05,True,True,True,14725.13098452068,683.7331362615428,0.7026287165751898,0.6896078276208798,0.010067982421614139,0.6996758100424939,0.03631953849520781,0.34983790502124695,0.1796994759410813,1.1093088140890002
-138.0,0.0006417982654569991,5.554446374154516e-05,True,True,True,6617.982654569991,755.4446374154516,0.3564834048506286,0.34987716926828655,0.004999501075149804,0.35487667034343634,0.0361776976689621,0.17743833517171817,0.09140113783012122,1.3804094278602026
-136.0,0.0005763000874848874,5.587206261781211e-05,True,True,True,5963.0008748488735,758.720626178121,0.32199074574606223,0.31602371700702797,0.004524236552318227,0.3205479535593462,0.036189964668013566,0.1602739767796731,0.08253941060785655,1.5543499762981803
-134.0,0.0008512123961710601,4.391138776233803e-05,True,True,True,8712.1239617106,639.1138776233803,0.37377917596376314,0.366852420724694,0.005568013293552969,0.3724204340182469,0.03658364159073949,0.18621021700912346,0.09514782087000359,1.7320372077760404
-132.0,0.0018274831941675013,3.57167285266322e-05,True,True,True,18474.831941675013,557.167285266322,0.6527172113306332,0.6406212663075926,0.010293474005680406,0.650914740313273,0.036989630025342043,0.3254573701566365,0.16495449724114017,1.9921395258871841
-130.0,0.0018083187082261528,0.00010792181034939707,True,True,True,18283.187082261527,1279.2181034939706,1.9515702868044955,1.9154044151406195,0.023387955142077133,1.9387923702826966,0.0352251118197282,0.9693961851413483,0.5088357941398227,2.665929817268147
-128.0,0.0018164758579341928,5.644814315506824e-05,True,True,True,18364.758579341928,764.4814315506824,1.0253668926639472,1.0063651238323508,0.014039382647013323,1.020404506479364,0.036022754211048745,0.510202253239682,0.2636219713624309,3.4383875827704005
-126.0,0.001241415303449473,6.849674672611581e-05,True,True,True,12614.153034494731,884.9674672611582,0.8503290962230277,0.8345710714293542,0.011163039716792403,0.8457341111461466,0.035759578123374845,0.4228670555730733,0.21963701344156006,3.9216465675743915
-124.0,0.001662069350877475,8.360325038760478e-05,True,True,True,16820.69350877475,1036.032503876048,1.389544001029733,1.3637934193815384,0.017426629621063897,1.3812200490026023,0.035485591444064,0.6906100245013012,0.360647573056307,4.501931154072259
-122.0,0.0009640745937314081,6.956201159838269e-05,True,True,True,9840.745937314081,895.620115983827,0.6706296807085029,0.6582017875752235,0.00881352270505049,0.667015310280274,0.03576623176063043,0.333507655140137,0.17320098842156267,5.035779715550128
-120.0,0.001675711230804606,7.977606365584762e-05,True,True,True,16957.11230804606,997.7606365584762,1.33681645817487,1.3120430063594741,0.016918987281057743,1.328961993640532,0.035539289087620496,0.664480996820266,0.3466354600546026,5.5556161640262935
-118.0,0.002653647184507461,6.760652861128651e-05,True,True,True,26736.471845074608,876.0652861128651,1.7940387430366356,1.7607921951775145,0.023422571476757612,1.784214766654272,0.03572590940125641,0.892107383327136,0.4636686999507923,6.365920324031689
-116.0,0.0018409189397997773,5.551662288886785e-05,True,True,True,18609.189397997772,755.1662288886785,1.0220160254983863,1.003076353857289,0.014052895317274315,1.0171292491745634,0.036049847101415,0.5085646245872817,0.2626346941575709,7.092223718140052
-114.0,0.0027956800865755627,0.00011970455839163126,True,True,True,28156.800865755627,1397.0455839163126,3.346556501678052,3.2845391950127745,0.039335753042320176,3.323874948055095,0.03511744922957697,1.6619374740275474,0.8741970805199567,8.22905549281758
-112.0,0.00201306015497396,0.00024253117443471248,True,True,True,20330.6015497396,2625.3117443471247,4.8822984359355885,4.791821254635647,0.053373554396248496,4.845194809031896,0.034732369265918564,2.422597404515948,1.2839611351173907,10.387213708454926
-110.0,0.002319583915495705,0.00013106067413863788,True,True,True,23395.839154957048,1510.6067413863789,3.040062316860083,2.9837248616604684,0.035341472230705474,3.019066333891174,0.03505713160035347,1.509533166945587,0.7949711263498072,12.466145969922124
